# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
1.18555 0.0265724
1.18652 0.026704
1.1875 0.0268321
1.18848 0.0269547
1.18945 0.027074
1.19043 0.0271945
1.19141 0.0273199
1.19238 0.0274497
1.19336 0.027574
1.19434 0.0276815
1.19531 0.0277712
1.19629 0.027844
1.19727 0.0279005
1.19824 0.0279408
1.19922 0.0279639
1.2002 0.0279677
1.20117 0.0279483
1.20215 0.0278968
1.20312 0.0277888
1.2041 0.0276381
1.20508 0.0275206
1.20605 0.027439
1.20703 0.0273885
1.20801 0.027372
1.20898 0.0274012
1.20996 0.0274941
1.21094 0.0276641
1.21191 0.0279109
1.21289 0.0282061
1.21387 0.0284204
1.21484 0.0285725
1.21582 0.0286913
1.2168 0.0287866
1.21777 0.0288645
1.21875 0.0289282
1.21973 0.0289802
1.2207 0.0290222
1.22168 0.0290559
1.22266 0.0290823
1.22363 0.0291026
1.22461 0.0291176
1.22559 0.0291282
