# ---X---	---$\sigma/E^\mathrm{*}$---
2.16522 0.000127297
2.1752 0.000126525
2.18518 0.000125613
2.19516 0.000124819
2.20514 0.000124144
2.21511 0.000123459
2.22509 0.000122634
2.23507 0.000121929
2.24505 0.000121213
2.25503 0.000120488
2.265 0.000119753
2.27498 0.000119138
2.28496 0.000118515
2.29494 0.000117753
2.30492 0.000116982
2.31489 0.000116332
2.32487 0.000115802
2.33485 0.000115135
2.34483 0.000114588
2.35481 0.000113905
2.36478 0.000113213
2.37476 0.000112643
2.38474 0.000112065
2.39472 0.00011148
2.40469 0.000110887
2.41467 0.000110287
2.42465 0.000109808
2.43463 0.000109194
2.44461 0.000108572
2.45458 0.000108202
2.46456 0.000107566
2.47454 0.000106924
2.48452 0.000106534
2.4945 0.000106009
2.50447 0.000105477
2.51445 0.000104938
2.52443 0.000104419
2.53441 0.000104011
2.54439 0.00010348
2.55436 0.000102995
2.56434 0.00010253
2.57432 0.00010206
2.5843 0.000101584
2.59428 0.000101128
2.60425 0.000100679
2.61423 0.000100238
2.62421 9.97922e-05
2.63419 9.93538e-05
2.64417 9.89232e-05
2.65414 9.84875e-05
2.66412 9.80726e-05
2.6741 9.76658e-05
2.68408 9.72542e-05
2.69406 9.68377e-05
2.70403 9.64296e-05
2.71401 9.60425e-05
2.72399 9.56639e-05
2.73397 9.52679e-05
2.74395 9.48803e-05
2.75392 9.45013e-05
2.7639 9.41308e-05
2.77388 9.37691e-05
2.78386 9.33902e-05
2.79384 9.30331e-05
2.80381 9.26719e-05
2.81379 9.23196e-05
2.82377 9.19762e-05
2.83375 9.16289e-05
2.84373 9.12907e-05
2.8537 9.09616e-05
2.86368 9.06288e-05
2.87366 9.02792e-05
2.88364 8.99648e-05
2.89362 8.96469e-05
2.90359 8.93124e-05
2.91357 8.90132e-05
2.92355 8.87105e-05
2.93353 8.83915e-05
2.94351 8.80821e-05
2.95348 8.77822e-05
2.96346 8.7492e-05
2.97344 8.71985e-05
2.98342 8.69018e-05
2.9934 8.66149e-05
3.00337 8.63248e-05
3.01335 8.60446e-05
3.02333 8.57743e-05
3.03331 8.5501e-05
3.04329 8.52247e-05
3.05326 8.49584e-05
3.06324 8.46892e-05
3.07322 8.44301e-05
3.0832 8.41681e-05
3.09318 8.39034e-05
3.10315 8.36488e-05
3.11313 8.34044e-05
3.12311 8.31573e-05
3.13309 8.29076e-05
3.14307 8.26682e-05
3.15304 8.24133e-05
3.16302 8.21817e-05
3.173 8.19475e-05
3.18298 8.17108e-05
3.19296 8.14845e-05
3.20293 8.12559e-05
3.21291 8.10248e-05
3.22289 8.08043e-05
3.23287 8.05943e-05
3.24285 8.03691e-05
3.25282 8.01415e-05
3.2628 7.99376e-05
3.27278 7.97314e-05
3.28276 7.951e-05
3.29274 7.92994e-05
3.30271 7.90995e-05
3.31269 7.88974e-05
3.32267 7.86933e-05
3.33265 7.85e-05
3.34263 7.83045e-05
3.3526 7.812e-05
3.36258 7.79205e-05
3.37256 7.77189e-05
3.38254 7.75413e-05
3.39252 7.73616e-05
3.40249 7.71671e-05
3.41247 7.69836e-05
3.42245 7.68111e-05
3.43243 7.66238e-05
3.44241 7.64475e-05
3.45238 7.62823e-05
3.46236 7.61024e-05
3.47234 7.59336e-05
3.48232 7.57759e-05
3.4923 7.56035e-05
3.50227 7.54295e-05
3.51225 7.52665e-05
3.52223 7.51147e-05
3.53221 7.49484e-05
3.54219 7.47804e-05
3.55216 7.46365e-05
3.56214 7.44781e-05
3.57212 7.4318e-05
3.5821 7.41822e-05
3.59208 7.40319e-05
3.60205 7.38671e-05
3.61203 7.37264e-05
3.62201 7.35843e-05
3.63199 7.34407e-05
