# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
3.10315 0.00271865
3.11313 0.00268339
3.12311 0.00268299
3.13309 0.00264735
3.14307 0.00268282
3.15304 0.00264664
3.16302 0.00264606
3.173 0.00260949
3.18298 0.00260892
3.19296 0.0025718
3.20293 0.00257106
3.21291 0.00257024
3.22289 0.00253231
3.23287 0.0024941
3.24285 0.00253044
3.25282 0.00249189
3.2628 0.00249086
3.27278 0.00248975
3.28276 0.00245079
3.29274 0.00241081
3.30271 0.00244801
3.31269 0.00240808
3.32267 0.00236771
3.33265 0.00236598
3.34263 0.00236417
3.3526 0.00236289
3.36258 0.00236173
3.37256 0.00232007
3.38254 0.0023178
3.39252 0.00227587
3.40249 0.00227426
3.41247 0.00227239
3.42245 0.00222973
3.43243 0.00222753
3.44241 0.00218417
3.45238 0.00218169
3.46236 0.002221
3.47234 0.00217753
3.48232 0.00213302
3.4923 0.00217272
3.50227 0.00217073
3.51225 0.00212589
3.52223 0.00208087
3.53221 0.00212107
3.54219 0.0020753
3.55216 0.00207292
3.56214 0.00202673
3.57212 0.00206745
3.5821 0.00206512
3.59208 0.00201845
3.60205 0.00201574
3.61203 0.00196867
3.62201 0.00196529
3.63199 0.00196229
3.64197 0.00195967
3.65194 0.00191191
3.66192 0.00190819
3.6719 0.00190504
3.68188 0.00190199
3.69186 0.00189853
3.70183 0.00189593
3.71181 0.0018464
3.72179 0.00184258
3.73177 0.00183945
3.74175 0.00178981
3.75172 0.00178593
3.7617 0.00178245
3.77168 0.00173179
3.78166 0.00177515
3.79164 0.00172404
3.80161 0.00172063
3.81159 0.001717
3.82157 0.00171266
3.83155 0.00166112
3.84153 0.00170542
3.8515 0.00165311
3.86148 0.00164919
3.87146 0.00159613
3.88144 0.00159209
3.89142 0.00158833
3.90139 0.00163341
3.91137 0.00157981
3.92135 0.00157539
3.93133 0.00152172
3.94131 0.00151723
3.95128 0.00151298
3.96126 0.00150868
3.97124 0.00150403
3.98122 0.00149998
3.99119 0.00149537
4.00117 0.00149106
4.01115 0.00143595
4.02113 0.00143089
4.03111 0.00137494
4.04108 0.00142199
4.05106 0.00141728
4.06104 0.00141252
4.07102 0.00135631
4.081 0.00135168
4.09097 0.00134648
4.10095 0.00134176
4.11093 0.00133737
4.12091 0.00127943
4.13089 0.00127442
4.14086 0.00126976
4.15084 0.00121231
4.16082 0.0012599
4.1708 0.00120118
4.18078 0.00119674
4.19075 0.00124457
4.20073 0.00118599
4.21071 0.00118129
4.22069 0.00117547
4.23067 0.00111625
4.24064 0.00111118
4.25062 0.00116033
4.2606 0.00110049
4.27058 0.00109475
4.28056 0.00108963
4.29053 0.00102973
4.30051 0.00107892
4.31049 0.00107345
4.32047 0.00106805
4.33045 0.00100753
4.34042 0.00100183
4.3504 0.000996645
4.36038 0.00093545
4.37036 0.000985054
4.38034 0.000979759
4.39031 0.000973762
4.40029 0.000912445
4.41027 0.000906936
4.42025 0.000901291
4.43023 0.000894949
4.4402 0.000833084
4.45018 0.000884152
4.46016 0.000877709
4.47014 0.000871797
4.48012 0.000809882
4.49009 0.000803907
4.50007 0.000797717
4.51005 0.000791589
4.52003 0.000729001
4.53001 0.00078038
4.53998 0.000716331
4.54996 0.000710485
4.55994 0.000704772
4.56992 0.000698871
4.5799 0.000692864
4.58987 0.000686335
4.59985 0.000680433
4.60983 0.000674427
4.61981 0.00066824
4.62979 0.000662183
4.63976 0.000597562
4.64974 0.00059131
4.65972 0.000585617
4.6697 0.000579319
4.67968 0.000573
4.68965 0.00056724
4.69963 0.000560811
4.70961 0.000554426
4.71959 0.000548019
4.72957 0.000482928
4.73954 0.000477002
4.74952 0.000471002
4.7595 0.000464397
4.76948 0.000457774
4.77946 0.000451678
4.78943 0.000422058
4.79941 0.000403554
4.80939 0.000396807
4.81937 0.000379413
4.82935 0.000366703
4.83932 0.000353964
4.8493 0.000335882
4.85928 0.000329596
4.86926 0.000317373
4.87924 0.00030513
4.88921 0.000292858
4.89919 0.000274042
4.90917 0.000261134
4.91915 0.00024939
4.92913 0.000237037
4.9391 0.000218126
4.94908 0.000206328
4.95906 0.000199274
4.96904 0.000186853
4.97902 0.000175014
4.98899 0.000156016
4.99897 0.000143555
5.00895 0.000131081
5.01893 0.000118598
5.02891 0.000106107
5.03888 9.36067e-05
5.04886 8.10998e-05
5.05884 6.26228e-05
5.06882 5.60691e-05
5.0788 3.93715e-05
5.08877 2.62493e-05
5.09875 1.31251e-05
