# ---X---	---$p_\mathrm{z}/p_\mathrm{H}$---
4.22069 3.82809e-07
4.23067 3.82824e-07
4.24064 3.82839e-07
4.25062 3.82855e-07
4.2606 3.82869e-07
4.27058 3.82884e-07
4.28056 3.82898e-07
4.29053 3.82913e-07
4.30051 3.82927e-07
4.31049 3.82941e-07
4.32047 3.82954e-07
4.33045 3.82968e-07
4.34042 3.82982e-07
4.3504 3.82994e-07
4.36038 3.83007e-07
4.37036 3.8302e-07
4.38034 3.83033e-07
4.39031 3.83045e-07
4.40029 3.83058e-07
4.41027 3.8307e-07
4.42025 3.83082e-07
4.43023 3.83093e-07
4.4402 3.83105e-07
4.45018 3.83116e-07
4.46016 3.83128e-07
4.47014 3.83138e-07
4.48012 3.83149e-07
4.49009 3.8316e-07
4.50007 3.8317e-07
4.51005 3.83181e-07
4.52003 3.83191e-07
4.53001 3.83201e-07
4.53998 3.8321e-07
4.54996 3.8322e-07
4.55994 3.83229e-07
4.56992 3.83238e-07
4.5799 3.83247e-07
4.58987 3.83257e-07
4.59985 3.83265e-07
4.60983 3.83274e-07
4.61981 3.83282e-07
4.62979 3.8329e-07
4.63976 3.83298e-07
4.64974 3.83306e-07
4.65972 3.83314e-07
4.6697 3.83321e-07
4.67968 3.83328e-07
4.68965 3.83335e-07
4.69963 3.83343e-07
4.70961 3.83349e-07
4.71959 3.83355e-07
4.72957 3.83362e-07
4.73954 3.83368e-07
4.74952 3.83375e-07
4.7595 3.8338e-07
4.76948 3.83386e-07
4.77946 3.83392e-07
4.78943 3.83397e-07
4.79941 3.83402e-07
4.80939 3.83407e-07
4.81937 3.83412e-07
4.82935 3.83416e-07
4.83932 3.83421e-07
4.8493 3.83425e-07
4.85928 3.8343e-07
4.86926 3.83434e-07
4.87924 3.83437e-07
4.88921 3.83441e-07
4.89919 3.83445e-07
4.90917 3.83449e-07
4.91915 3.83451e-07
4.92913 3.83454e-07
4.9391 3.83457e-07
4.94908 3.8346e-07
4.95906 3.83462e-07
4.96904 3.83465e-07
4.97902 3.83467e-07
4.98899 3.83469e-07
4.99897 3.8347e-07
5.00895 3.83472e-07
5.01893 3.83473e-07
5.02891 3.83475e-07
5.03888 3.83476e-07
5.04886 3.83477e-07
5.05884 3.83477e-07
5.06882 3.83478e-07
5.0788 3.83478e-07
5.08877 3.83479e-07
5.09875 3.83479e-07
